Izz1 + 1.0*Ia1 + 1.0*Iyy2 + 1.0*Iyy3 + 0.07*mz3 + 0.05185*m3 + 0.05185*m4 + 0.05185*m5 + 0.05185*m6,1.274538,0.38,1.276673,0.48
fv1,8.027789,0.5,8.027866,0.65
fs1,7.231843,1.6,7.231751,2.08
Ixx2 - 1.0*Iyy2 - 0.050625*m3 - 0.050625*m4 - 0.050625*m5 - 0.050625*m6,-0.491046,1.46,-0.489071,1.89
Ixz2 - 0.225*mz3 - 0.007875*m3 - 0.007875*m4 - 0.007875*m5 - 0.007875*m6,-0.162819,2.78,-0.161304,3.58
Izz2 + 1.0*Ia2 + 0.050625*m3 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,1.070218,0.44,1.07001,0.55
mx2 + 0.225*m3 + 0.225*m4 + 0.225*m5 + 0.225*m6,2.173868,0.4,2.173702,0.5
fv2,5.520149,0.83,5.518406,1.04
fs2,8.250505,1.34,8.253987,1.7
Ixx3 - 1.0*Iyy3 + 1.0*Iyy4 + 0.45*mz4 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.105539,7.43,0.095721,9.49
Izz3 + 1.0*Iyy4 + 0.45*mz4 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.127875,3.65,0.127811,3.94
my3 - 1.0*mz4 - 0.225*m4 - 0.225*m5 - 0.225*m6,-0.590299,1.38,-0.593324,1.5
Ia3,0.079004,4.71,0.079044,4.52
fv3,1.996299,1.68,1.996059,1.52
fs3,6.287724,1.78,6.289599,1.61
Ia4,0.031652,9.3,0.031659,3.99
fv4,1.108709,2.99,1.108522,1.29
fs4,2.51445,4.86,2.515549,2.1
my5 - 1.0*mz6,-0.034355,10.1,-0.033948,9.12
Ia5,0.047088,7.94,0.04708,7.02
fv5,1.845313,2.29,1.856071,2.01
fs5,3.049281,3.66,3.018672,3.25
fv6,0.669334,2.62,0.670531,1.5
fvm6,0.590868,2.61,0.60856,1.65
fsm6,2.113854,3.64,2.108124,2.3
